video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=EnLwY7bSuEE&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,BREAKING: I-5 northbound fully blocked after crash near US 1-1 in Olympia,3.8K,1 month,No reports of any injuries or a timetable to reopen the roadway has been given.,2026-01-20 20:38:41.518506
/watch?v=XHgM08aOcVA&pp=ygUGSS01IFdB,/@i5.commuters,i5 Commuters,Is I-5 WA the most chaotic highway in the U.S.? | The i5 Commuters,785,11 months,"It's an age-old question, really. Does the area I live in have worse drivers than the general U.S. population? We have lived, and ...",2026-01-20 20:38:41.519881
/watch?v=0rS1ZfhYs-o&pp=ygUGSS01IFdB,/@fox13seattle,FOX 13 Seattle,Preparing for another I-5 weekend closure in Seattle | FOX 13 Seattle,6.7K,6 months,"Drivers in Seattle should prepare for significant traffic delays this weekend, as multiple road closures are planned across the ...",2026-01-20 20:38:41.521293
/watch?v=vdhhlylAXPY&pp=ygUGSS01IFdB,/@komonews,KOMO News,"Long-term I-5 lane reductions to impact Seattle traffic, drivers urged to plan for delays",18K,11 days,Drivers heading through Seattle will need to adjust their travel plans starting this weekend as major construction resumes on ...,2026-01-20 20:38:41.525860
/watch?v=9IKrpiE9wMw&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,New I-5 bridges over Puyallup River in Tacoma include longest-ever beam,8.1K,5 years,The bridge project is the last of 14 major projects that have stretched out along I-5 through Tacoma for two decades.,2026-01-20 20:38:41.527104
/watch?v=t48sj-AIu8Q&pp=ygUGSS01IFdB,/@7NewsDC,ABC 7 News - WJLA,I-5 Bridge collapse near Seattle,2.6K,12 years,I-5 Bridge collapse near Seattle. Stay up to date with our social media: WJLA on Facebook: https://www.facebook.com/wjlatv/ ...,2026-01-20 20:38:41.529731
/watch?v=KVGeVB2NF5M&pp=ygUGSS01IFdB,/@komonews,KOMO News,"Driver without lights on clocks 156 mph on I-5, disappears into fog on New Year's Eve",69K,13 days,A Washington State Patrol (WSP) trooper clocked a driver screaming down Interstate 5 at a speed that's hard to believe. Shortly ...,2026-01-20 20:38:41.530957
/watch?v=4FWUcXSDj7w&pp=ygUGSS01IFdB0gcJCU8KAYcqIYzv,/@fox13seattle,FOX 13 Seattle,I-5 road rage attack prompts safety talks with WA contractors | FOX 13 Seattle,2.1K,1 year,The Washington Department of Transportation is going over safety protocols with workers after last week's attack on two ...,2026-01-20 20:38:41.534198
/watch?v=gR4yUADVwRg&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Lid I-5? Get rid of I-5? Varying perspectives on Seattle's aging freeway - New Day NW,6.1K,5 years,"Could Western Washington really function without a freeway downtown? Some say yes, including ""The Stranger"" staff writer ...",2026-01-20 20:38:41.536461
/watch?v=MfZ-oOvBEXQ&pp=ygUGSS01IFdB0gcJCU8KAYcqIYzv,/@KING5Seattle,KING 5 Seattle,Changes coming this weekend for southbound I-5 in Tacoma,3.4K,4 years,Drivers who use Interstate 5 through Tacoma should prepare for some changes as the Washington State Department of ...,2026-01-20 20:38:41.537657
/watch?v=ZI-pF-FNEKY&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Northbound I-5 to close overnight Friday in Seattle,8.8K,2 years,Travelers using northbound Interstate 5 through downtown Seattle should plan for delays this weekend.,2026-01-20 20:38:41.539079
/watch?v=vdpcUkL31X0&pp=ygUGSS01IFdB0gcJCU8KAYcqIYzv,/@fox13seattle,FOX 13 Seattle,"Troopers investigating deadly crash on I-5 in Kent, WA | FOX 13 Seattle",4.4K,3 months,"A fatal motorcycle crash early Friday shut down northbound I-5 near Kent around SR 516, leaving one lane open as troopers ...",2026-01-20 20:38:41.540760
/watch?v=gSeU_BSrVuQ&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,BREAKING: Overturned truck containing live chickens on I-5 in Dupont,2K,1 month,A semi-truck containing live chickens overturned on I-5 in Dupont near Mounts Rd. causing a 4 mile backup.,2026-01-20 20:38:41.543748
/watch?v=jvNr-c-EnpM&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,"Suspect drags trooper out of patrol car, then steals her vehicle on Interstate 5 in Seattle",118K,3 weeks,The suspect was taken into custody following a chase with law enforcement. Neither the suspect nor law enforcement were hurt.,2026-01-20 20:38:41.544866
/watch?v=47M9bepk5-Q&pp=ygUGSS01IFdB,/@Fox12oregon,"KPTV FOX 12 | Local news, weather Portland, Oregon","Oregon, Washington’s I-5 bridge replacement project gets $1.5B in new federal money",1.3K,1 year,The U.S. Department of Transportation on Friday released $1.5 billion to help replace the Interstate 5 bridge between Oregon and ...,2026-01-20 20:38:41.546983
/watch?v=h-vtGHIFOFk&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,"Street-racing may be cause of multi-vehicle crash on I-5, investigators say",62K,3 years,All lanes of southbound Interstate 5 in Tacoma reopened following a crash involving three cars and a motorcycle Tuesday ...,2026-01-20 20:38:41.548423
/watch?v=FWOY4qkHvs4&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,Southbound I-5 partially closed in south Seattle after multiple cars hit broken expansion joint,12K,3 years,The Washington State Department of Transportation said up to 10 vehicles hit a broken expansion joint on southbound I-5 in ...,2026-01-20 20:38:41.551065
/watch?v=zV1vpzU9738&pp=ygUGSS01IFdB,/@fox13seattle,FOX 13 Seattle,"20-mile stretch of I-5 in Lewis, Thurston counties closed due to flooding | FOX 13 Seattle",2.2K,4 years,Interstate 5 between Lewis and Thurston counties is shut down because of area flooding Friday morning. Subscribe to FOX 13 ...,2026-01-20 20:38:48.284954
/watch?v=bX7hGLy8mdo&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,How to navigate I-5 closure through downtown Seattle beginning Friday night,4.5K,5 months,WSDOT crews are working to wrap up critical renovations on the Ship Canal Bridge.,2026-01-20 20:38:48.286443
/watch?v=9O580ioLW-E&pp=ygUGSS01IFdB,/@KING5Seattle,KING 5 Seattle,BREAKING: 20 car pileup on I-5,8.5K,1 day,Up to 20 cars are involved in a pileup on I-5 N near Fife.,2026-01-20 20:38:48.287905
/watch?v=iHi9OjXxrlw&pp=ygUGSS01IFdB,/@fox13seattle,FOX 13 Seattle,WSP: Driver who caused crash that shut down I-5 North in Tacoma was going over 100mph,10K,4 years,Troopers say a driver who caused an hours-long closure of Interstate 5 in Tacoma was going over 100mph before losing control ...,2026-01-20 20:38:48.289373
